Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.000690971540389599,0.0202684780907085,0.0223685078182553,0,0,0,1.92694445915652,0.00227527569701639,1.23582497602662E-20,7.46074743539999E-10,0.00497198478315707,1.79499417018569E-22,0.00291726961459248,0,0,0,0,0,0,package://metal_detector_bot/meshes/base_link.STL,1,1,1,0.3,0,0,0,0,0,0,package://metal_detector_bot/meshes/base_link.STL,,plate-2;spacer-1;spacer-2;battery-1;motor-2;motor-4;spacer-6;spacer-4;plate-1;caster-2;caster-1;spacer2-1;spacer2-2;spacer2-4,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Left_wheel_link,-5.20417042793042E-18,4.33680868994202E-18,-0.0110119716589299,0,0,0,0.0578634242901436,1.93090240355051E-05,-8.470329472543E-22,-7.64059411510362E-22,1.93090240355051E-05,-2.94217620015072E-21,3.61171150021618E-05,0,0,0,0,0,0,package://metal_detector_bot/meshes/Left_wheel_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://metal_detector_bot/meshes/Left_wheel_link.STL,,wheel-1,Origin_Left_wheel_joint,Axis_Left_wheel_joint,Left_wheel_joint,continuous,-0.0765,0.00190302448688115,0.00943214142854351,-1.5707963267949,-1.17899991460539,-1.5707963267949,base_link,0,0,1,,,,,,,,,,,,
Right_wheel_link,-2.16840434497101E-18,1.90819582357449E-17,-0.0110119716589299,0,0,0,0.0578634242901436,1.93090240355051E-05,1.6940658945086E-21,-9.75611812526288E-21,1.93090240355051E-05,4.48668736503544E-21,3.61171150021618E-05,0,0,0,0,0,0,package://metal_detector_bot/meshes/Right_wheel_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://metal_detector_bot/meshes/Right_wheel_link.STL,,wheel-2,Origin_Right_wheel_joint,Axis_Right_wheel_joint,Right_wheel_joint,continuous,0.0764999999999999,0.00190302448688115,0.00943214142854353,1.5707963267949,-0.566329337388945,-1.5707963267949,base_link,0,0,1,,,,,,,,,,,,
Ball_caster_front_link,2.71050543121376E-19,0,-0.0125,0,0,0,0.00818123086872342,5.11326929295214E-07,3.58732406867153E-39,3.1861838222649E-55,5.11326929295214E-07,1.06121239205001E-70,5.11326929295214E-07,0,0,0,0,0,0,package://metal_detector_bot/meshes/Ball_caster_front_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://metal_detector_bot/meshes/Ball_caster_front_link.STL,,Ball-1,Origin_Ball_caster_front_joint,Axis_Ball_caster_front_joint,Ball_caster_front_joint,continuous,-0.0001379719182397,0.0700435036565304,-0.02045,1.5707963267949,0,0,base_link,0,0,1,,,,,,,,,,,,
Ball_caster_back_link,2.71050543121376E-19,0,0.0125,0,0,0,0.00818123086872342,5.11326929295214E-07,-7.17464813734306E-39,0,5.11326929295214E-07,0,5.11326929295214E-07,0,0,0,0,0,0,package://metal_detector_bot/meshes/Ball_caster_back_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://metal_detector_bot/meshes/Ball_caster_back_link.STL,,Ball-2,Origin_Ball_caster_back_joint,Axis_Ball_caster_back_joint,Ball_caster_back_joint,continuous,-0.0001379719182397,-0.0700435036565304,-0.014,1.5707963267949,0,0,base_link,0,0,1,,,,,,,,,,,,
